START,Time,,Upstream Pressure,,Downstream Pressure
DATA,0.96,PT_EU,-5.621,PT_ED,5.376
DATA,0.97,PT_EU,2.933,PT_ED,4.154
DATA,0.97,PT_EU,2.933,PT_ED,5.376
DATA,0.98,PT_EU,-9.286,PT_ED,6.598
DATA,0.99,PT_EU,0.489,PT_ED,0.489
DATA,0.99,PT_EU,2.933,PT_ED,-28.837
DATA,1,PT_EU,1.711,PT_ED,-11.73
DATA,1,PT_EU,1.711,PT_ED,-6.843
DATA,1.01,PT_EU,1.711,PT_ED,-19.062
DATA,1.02,PT_EU,-5.621,PT_ED,-23.949
DATA,1.02,PT_EU,-38.612,PT_ED,-30.059
DATA,1.03,PT_EU,1.711,PT_ED,-1.955
DATA,1.04,PT_EU,-30.059,PT_ED,5.376
DATA,1.04,PT_EU,0.489,PT_ED,-30.059
DATA,1.05,PT_EU,-4.399,PT_ED,-5.621
DATA,1.05,PT_EU,1.711,PT_ED,-23.949
DATA,1.06,PT_EU,-33.724,PT_ED,-16.618
DATA,1.07,PT_EU,-12.952,PT_ED,-21.505
DATA,1.07,PT_EU,-31.281,PT_ED,-3.177
DATA,1.08,PT_EU,-28.837,PT_ED,2.933
DATA,1.09,PT_EU,-10.508,PT_ED,5.376
DATA,1.09,PT_EU,-0.733,PT_ED,2.933
DATA,1.1,PT_EU,0.489,PT_ED,5.376
DATA,1.11,PT_EU,4.154,PT_ED,5.376
DATA,1.11,PT_EU,0.489,PT_ED,5.376
DATA,1.12,PT_EU,0.489,PT_ED,4.154
DATA,1.12,PT_EU,1.711,PT_ED,5.376
DATA,1.13,PT_EU,2.933,PT_ED,5.376
DATA,1.13,PT_EU,0.489,PT_ED,4.154
DATA,1.14,PT_EU,0.489,PT_ED,4.154
DATA,1.15,PT_EU,0.489,PT_ED,1.711
DATA,1.15,PT_EU,1.711,PT_ED,5.376
DATA,1.16,PT_EU,2.933,PT_ED,5.376
DATA,1.16,PT_EU,2.933,PT_ED,4.154
DATA,1.17,PT_EU,-6.843,PT_ED,6.598
DATA,1.18,PT_EU,-4.399,PT_ED,4.154
DATA,1.18,PT_EU,0.489,PT_ED,4.154
DATA,1.19,PT_EU,1.711,PT_ED,5.376
DATA,1.2,PT_EU,2.933,PT_ED,4.154
DATA,1.2,PT_EU,1.711,PT_ED,4.154
DATA,1.21,PT_EU,-8.065,PT_ED,5.376
DATA,1.21,PT_EU,-11.73,PT_ED,5.376
DATA,1.22,PT_EU,0.489,PT_ED,4.154
DATA,1.23,PT_EU,-11.73,PT_ED,4.154
DATA,1.23,PT_EU,0.489,PT_ED,4.154
DATA,1.24,PT_EU,-9.286,PT_ED,2.933
DATA,1.24,PT_EU,-9.286,PT_ED,5.376
DATA,1.25,PT_EU,-6.843,PT_ED,5.376
DATA,1.26,PT_EU,-6.843,PT_ED,6.598
DATA,1.26,PT_EU,-8.065,PT_ED,-0.733
DATA,1.27,PT_EU,-15.396,PT_ED,-6.843
DATA,1.27,PT_EU,-6.843,PT_ED,-21.505
DATA,1.28,PT_EU,-9.286,PT_ED,2.933
DATA,1.29,PT_EU,-37.39,PT_ED,-12.952
DATA,1.29,PT_EU,-30.059,PT_ED,-21.505
DATA,1.3,PT_EU,-5.621,PT_ED,-3.177
DATA,1.31,PT_EU,-16.618,PT_ED,-14.174
DATA,1.31,PT_EU,-25.171,PT_ED,-20.283
DATA,1.32,PT_EU,-36.168,PT_ED,6.598
DATA,1.33,PT_EU,-0.733,PT_ED,5.376
DATA,1.33,PT_EU,-25.171,PT_ED,-5.621
DATA,1.34,PT_EU,-10.508,PT_ED,-11.73
DATA,1.35,PT_EU,0.489,PT_ED,-26.393
DATA,1.35,PT_EU,-10.508,PT_ED,1.711
DATA,1.36,PT_EU,-6.843,PT_ED,-1.955
DATA,1.37,PT_EU,-6.843,PT_ED,-1.955
DATA,1.37,PT_EU,-5.621,PT_ED,6.598
DATA,1.38,PT_EU,-4.399,PT_ED,4.154
DATA,1.38,PT_EU,-3.177,PT_ED,4.154
DATA,1.39,PT_EU,-1.955,PT_ED,6.598
DATA,1.39,PT_EU,-0.733,PT_ED,6.598
DATA,1.4,PT_EU,0.489,PT_ED,5.376
DATA,1.41,PT_EU,2.933,PT_ED,5.376
DATA,1.41,PT_EU,1.711,PT_ED,5.376
DATA,1.42,PT_EU,1.711,PT_ED,5.376
DATA,1.42,PT_EU,-4.399,PT_ED,5.376
DATA,1.43,PT_EU,0.489,PT_ED,6.598
DATA,1.44,PT_EU,2.933,PT_ED,4.154
DATA,1.44,PT_EU,4.154,PT_ED,5.376
DATA,1.45,PT_EU,1.711,PT_ED,5.376
DATA,1.46,PT_EU,-1.955,PT_ED,6.598
DATA,1.46,PT_EU,-0.733,PT_ED,7.82
DATA,1.47,PT_EU,0.489,PT_ED,6.598
DATA,1.47,PT_EU,2.933,PT_ED,5.376
DATA,1.48,PT_EU,0.489,PT_ED,4.154
DATA,1.49,PT_EU,1.711,PT_ED,4.154
DATA,1.49,PT_EU,-9.286,PT_ED,4.154
DATA,1.5,PT_EU,-8.065,PT_ED,4.154
DATA,1.5,PT_EU,-5.621,PT_ED,5.376
DATA,1.51,PT_EU,-1.955,PT_ED,5.376
DATA,1.51,PT_EU,1.711,PT_ED,5.376
DATA,1.52,PT_EU,2.933,PT_ED,6.598
DATA,1.53,PT_EU,2.933,PT_ED,-3.177
DATA,1.53,PT_EU,-0.733,PT_ED,-21.505
DATA,1.54,PT_EU,-11.73,PT_ED,-6.843
DATA,1.55,PT_EU,-6.843,PT_ED,-15.396
DATA,1.55,PT_EU,-28.837,PT_ED,-21.505
DATA,1.56,PT_EU,-32.502,PT_ED,-26.393
DATA,1.57,PT_EU,-28.837,PT_ED,-6.843
DATA,1.57,PT_EU,-25.171,PT_ED,-26.393
DATA,1.58,PT_EU,2.933,PT_ED,-16.618
DATA,1.59,PT_EU,-21.505,PT_ED,-20.283
DATA,1.59,PT_EU,-34.946,PT_ED,-28.837
DATA,1.6,PT_EU,-0.733,PT_ED,-15.396
DATA,1.61,PT_EU,-34.946,PT_ED,-4.399
DATA,1.61,PT_EU,1.711,PT_ED,-3.177
DATA,1.62,PT_EU,0.489,PT_ED,2.933
DATA,1.62,PT_EU,-0.733,PT_ED,2.933
DATA,1.63,PT_EU,4.154,PT_ED,-4.399
DATA,1.64,PT_EU,-0.733,PT_ED,5.376
DATA,1.64,PT_EU,-5.621,PT_ED,5.376
DATA,1.65,PT_EU,0.489,PT_ED,-5.621
DATA,1.65,PT_EU,-8.065,PT_ED,4.154
DATA,1.66,PT_EU,1.711,PT_ED,1.711
DATA,1.67,PT_EU,2.933,PT_ED,5.376
DATA,1.67,PT_EU,1.711,PT_ED,-1.955
DATA,1.68,PT_EU,-11.73,PT_ED,5.376
DATA,1.68,PT_EU,-9.286,PT_ED,-3.177
DATA,1.69,PT_EU,-6.843,PT_ED,5.376
DATA,1.7,PT_EU,0.489,PT_ED,4.154
DATA,1.7,PT_EU,4.154,PT_ED,4.154
DATA,1.71,PT_EU,1.711,PT_ED,4.154
DATA,1.72,PT_EU,-9.286,PT_ED,5.376
DATA,1.72,PT_EU,0.489,PT_ED,5.376
DATA,1.73,PT_EU,2.933,PT_ED,4.154
DATA,1.73,PT_EU,4.154,PT_ED,-1.955
DATA,1.74,PT_EU,-4.399,PT_ED,4.154
DATA,1.75,PT_EU,-1.955,PT_ED,4.154
DATA,1.75,PT_EU,-8.065,PT_ED,-0.733
DATA,1.76,PT_EU,1.711,PT_ED,-0.733
DATA,1.76,PT_EU,2.933,PT_ED,1.711
DATA,1.77,PT_EU,2.933,PT_ED,6.598
DATA,1.77,PT_EU,2.933,PT_ED,-4.399
DATA,1.78,PT_EU,0.489,PT_ED,-0.733
DATA,1.79,PT_EU,0.489,PT_ED,2.933
DATA,1.79,PT_EU,-10.508,PT_ED,4.154
DATA,1.8,PT_EU,-0.733,PT_ED,5.376
DATA,1.81,PT_EU,-31.281,PT_ED,-27.615
DATA,1.81,PT_EU,9.042,PT_ED,-8.065
DATA,1.82,PT_EU,2.933,PT_ED,-4.399
DATA,1.83,PT_EU,1.711,PT_ED,-19.062
DATA,1.83,PT_EU,-33.724,PT_ED,-25.171
DATA,1.84,PT_EU,-37.39,PT_ED,-11.73
DATA,1.85,PT_EU,-5.621,PT_ED,-6.843
DATA,1.85,PT_EU,-33.724,PT_ED,5.376
DATA,1.86,PT_EU,-20.283,PT_ED,-14.174
DATA,1.86,PT_EU,-3.177,PT_ED,-4.399
DATA,1.87,PT_EU,0.489,PT_ED,-31.281
DATA,1.88,PT_EU,-11.73,PT_ED,-9.286
DATA,1.88,PT_EU,-9.286,PT_ED,-25.171
DATA,1.89,PT_EU,-6.843,PT_ED,4.154
DATA,1.9,PT_EU,-5.621,PT_ED,-4.399
DATA,1.9,PT_EU,1.711,PT_ED,5.376
DATA,1.91,PT_EU,-6.843,PT_ED,4.154
DATA,1.91,PT_EU,1.711,PT_ED,5.376
DATA,1.92,PT_EU,0.489,PT_ED,6.598
DATA,1.93,PT_EU,0.489,PT_ED,-4.399
DATA,1.93,PT_EU,-9.286,PT_ED,5.376
DATA,1.94,PT_EU,1.711,PT_ED,5.376
DATA,1.94,PT_EU,2.933,PT_ED,4.154
DATA,1.95,PT_EU,-1.955,PT_ED,4.154
DATA,1.96,PT_EU,2.933,PT_ED,5.376
DATA,1.96,PT_EU,4.154,PT_ED,5.376
DATA,1.97,PT_EU,2.933,PT_ED,-5.621
DATA,1.97,PT_EU,-6.843,PT_ED,5.376
DATA,1.98,PT_EU,1.711,PT_ED,2.933
DATA,1.99,PT_EU,1.711,PT_ED,1.711
DATA,1.99,PT_EU,2.933,PT_ED,5.376
DATA,2,PT_EU,-10.508,PT_ED,-0.733
DATA,2.01,PT_EU,-0.733,PT_ED,5.376
DATA,2.01,PT_EU,-0.733,PT_ED,5.376
DATA,2.02,PT_EU,1.711,PT_ED,-5.621
DATA,2.02,PT_EU,-5.621,PT_ED,5.376
DATA,2.03,PT_EU,5.376,PT_ED,5.376
DATA,2.04,PT_EU,2.933,PT_ED,4.154
DATA,2.04,PT_EU,1.711,PT_ED,0.489
DATA,2.05,PT_EU,1.711,PT_ED,4.154
DATA,2.05,PT_EU,-8.065,PT_ED,5.376
DATA,2.06,PT_EU,1.711,PT_ED,4.154
DATA,2.07,PT_EU,-27.615,PT_ED,-28.837
DATA,2.07,PT_EU,-16.618,PT_ED,-20.283
DATA,2.08,PT_EU,-5.621,PT_ED,-19.062
DATA,2.09,PT_EU,-26.393,PT_ED,-0.733
DATA,2.09,PT_EU,-31.281,PT_ED,-15.396
DATA,2.1,PT_EU,-17.84,PT_ED,-21.505
DATA,2.1,PT_EU,-9.286,PT_ED,-20.283
DATA,2.11,PT_EU,-36.168,PT_ED,-6.843
DATA,2.12,PT_EU,-19.062,PT_ED,-15.396
DATA,2.12,PT_EU,-1.955,PT_ED,-0.733
DATA,2.13,PT_EU,-17.84,PT_ED,0.489
DATA,2.14,PT_EU,-26.393,PT_ED,-1.955
DATA,2.14,PT_EU,-8.065,PT_ED,-15.396
DATA,2.15,PT_EU,-4.399,PT_ED,-16.618
DATA,2.16,PT_EU,-9.286,PT_ED,-3.177
DATA,2.16,PT_EU,-5.621,PT_ED,4.154
DATA,2.17,PT_EU,-1.955,PT_ED,6.598
DATA,2.18,PT_EU,0.489,PT_ED,6.598
DATA,2.18,PT_EU,2.933,PT_ED,6.598
DATA,2.19,PT_EU,1.711,PT_ED,4.154
DATA,2.19,PT_EU,2.933,PT_ED,5.376
DATA,2.2,PT_EU,2.933,PT_ED,5.376
DATA,2.2,PT_EU,4.154,PT_ED,7.82
DATA,2.21,PT_EU,-11.73,PT_ED,-0.733
DATA,2.22,PT_EU,-9.286,PT_ED,6.598
DATA,2.22,PT_EU,-3.177,PT_ED,6.598
DATA,2.23,PT_EU,2.933,PT_ED,5.376
DATA,2.24,PT_EU,2.933,PT_ED,6.598
DATA,2.24,PT_EU,-11.73,PT_ED,5.376
DATA,2.25,PT_EU,0.489,PT_ED,4.154
DATA,2.25,PT_EU,-5.621,PT_ED,6.598
DATA,2.26,PT_EU,1.711,PT_ED,5.376
DATA,2.27,PT_EU,4.154,PT_ED,5.376
DATA,2.27,PT_EU,-3.177,PT_ED,4.154
DATA,2.28,PT_EU,-3.177,PT_ED,4.154
DATA,2.28,PT_EU,-3.177,PT_ED,5.376
DATA,2.29,PT_EU,-1.955,PT_ED,5.376
DATA,2.3,PT_EU,0.489,PT_ED,5.376
DATA,2.3,PT_EU,1.711,PT_ED,6.598
DATA,2.31,PT_EU,0.489,PT_ED,4.154
DATA,2.31,PT_EU,2.933,PT_ED,4.154
DATA,2.32,PT_EU,-8.065,PT_ED,4.154
DATA,2.33,PT_EU,-12.952,PT_ED,-5.621
DATA,2.33,PT_EU,-11.73,PT_ED,-8.065
DATA,2.34,PT_EU,1.711,PT_ED,-26.393
DATA,2.35,PT_EU,-6.843,PT_ED,-30.059
DATA,2.35,PT_EU,-15.396,PT_ED,-11.73
DATA,2.36,PT_EU,-9.286,PT_ED,-26.393
DATA,2.36,PT_EU,-28.837,PT_ED,5.376
